Ticker,Empresa,Setor (brapi),Subsetor (yfinance),País,Tipo,Market Cap,Logo
VIVT3.SA,Telefônica Brasil S.A.,Communications,Telecom Services,Brazil,stock,R$ 100.09 Bi,https://icons.brapi.dev/icons/VIVT3.svg
TIMS3.SA,TIM S.A.,Communications,Telecom Services,Brazil,stock,R$ 53.31 Bi,https://icons.brapi.dev/icons/TIMS3.svg
FIQE3.SA,Unifique Telecomunicações S.A.,Communications,Telecom Services,Brazil,stock,R$ 1.35 Bi,https://icons.brapi.dev/icons/FIQE3.svg
BRST3.SA,N/A,Communications,Telecom Services,Brazil,stock,R$ 1.29 Bi,https://icons.brapi.dev/icons/BRST3.svg
DESK3.SA,Desktop S.A.,Communications,Telecom Services,Brazil,stock,R$ 1.14 Bi,https://icons.brapi.dev/icons/DESK3.svg
TELB4.SA,Telecomunicações Brasileiras S.A. - Telebras,Communications,Telecom Services,Brazil,stock,R$ 1.13 Bi,https://icons.brapi.dev/icons/TELB4.svg
TELB3.SA,Telecomunicações Brasileiras S.A. - Telebras,Communications,Telecom Services,Brazil,stock,R$ 1.12 Bi,https://icons.brapi.dev/icons/TELB3.svg
OIBR3.SA,Oi S.A.,Communications,Telecom Services,Brazil,stock,R$ 0.22 Bi,https://icons.brapi.dev/icons/OIBR3.svg
OIBR4.SA,Oi S.A.,Communications,Telecom Services,Brazil,stock,R$ 0.22 Bi,https://icons.brapi.dev/icons/OIBR4.svg
ITUB3.SA,Itaú Unibanco Holding S.A.,Finance,Banks - Regional,Brazil,stock,R$ 377.62 Bi,https://icons.brapi.dev/icons/ITUB3.svg
ITUB4.SA,Itaú Unibanco Holding S.A.,Finance,Banks - Regional,Brazil,stock,R$ 376.18 Bi,https://icons.brapi.dev/icons/ITUB4.svg
BPAC3.SA,Banco BTG Pactual S.A.,Finance,Capital Markets,Brazil,stock,R$ 226.20 Bi,https://icons.brapi.dev/icons/BPAC3.svg
BPAC5.SA,Banco BTG Pactual S.A.,Finance,Capital Markets,Brazil,stock,R$ 222.83 Bi,https://icons.brapi.dev/icons/BPAC5.svg
BBDC3.SA,Banco Bradesco S.A.,Finance,Banks - Regional,Brazil,stock,R$ 165.76 Bi,https://icons.brapi.dev/icons/BBDC3.svg
BBDC4.SA,Banco Bradesco S.A.,Finance,Banks - Regional,Brazil,stock,R$ 165.69 Bi,https://icons.brapi.dev/icons/BBDC4.svg
BPAC11.SA,Banco BTG Pactual S.A.,Finance,Capital Markets,Brazil,fund,R$ 141.20 Bi,https://icons.brapi.dev/icons/BPAC11.svg
SANB11.SA,Banco Santander (Brasil) S.A.,Finance,Banks - Regional,Brazil,fund,R$ 140.44 Bi,https://icons.brapi.dev/icons/SANB11.svg
BBAS3.SA,Banco do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 126.10 Bi,https://icons.brapi.dev/icons/BBAS3.svg
ITSA4.SA,Itaúsa S.A.,Finance,Conglomerates,Brazil,stock,R$ 120.70 Bi,https://icons.brapi.dev/icons/ITSA4.svg
ITSA3.SA,Itaúsa S.A.,Finance,Conglomerates,Brazil,stock,R$ 119.48 Bi,https://icons.brapi.dev/icons/ITSA3.svg
SANB3.SA,Banco Santander (Brasil) S.A.,Finance,Banks - Regional,Brazil,stock,R$ 110.28 Bi,https://icons.brapi.dev/icons/SANB3.svg
SANB4.SA,Banco Santander (Brasil) S.A.,Finance,Banks - Regional,Brazil,stock,R$ 109.20 Bi,https://icons.brapi.dev/icons/SANB4.svg
B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",Finance,Financial Data & Stock Exchanges,Brazil,stock,R$ 75.92 Bi,https://icons.brapi.dev/icons/B3SA3.svg
BBSE3.SA,BB Seguridade Participações S.A.,Finance,Insurance - Diversified,Brazil,stock,R$ 69.50 Bi,https://icons.brapi.dev/icons/BBSE3.svg
CXSE3.SA,Caixa Seguridade Participações S.A.,Finance,Insurance - Diversified,Brazil,stock,R$ 44.07 Bi,https://icons.brapi.dev/icons/CXSE3.svg
RENT3.SA,Localiza Rent a Car S.A.,Finance,Rental & Leasing Services,Brazil,stock,R$ 42.73 Bi,https://icons.brapi.dev/icons/RENT3.svg
PSSA3.SA,Porto Seguro S.A.,Finance,Insurance - Diversified,Brazil,stock,R$ 35.44 Bi,https://icons.brapi.dev/icons/PSSA3.svg
MULT3.SA,Multiplan Empreendimentos Imobiliários S.A.,Finance,Real Estate Services,Brazil,stock,R$ 13.29 Bi,https://icons.brapi.dev/icons/MULT3.svg
ALOS3.SA,Allos S.A.,Finance,Real Estate Services,Brazil,stock,R$ 11.38 Bi,https://icons.brapi.dev/icons/ALOS3.svg
BPAN4.SA,Banco Pan S.A.,Finance,Banks - Regional,Brazil,stock,R$ 10.12 Bi,https://icons.brapi.dev/icons/BPAN4.svg
CYRE3.SA,Cyrela Brazil Realty S.A. Empreendimentos e Participações,Finance,Residential Construction,Brazil,stock,R$ 9.58 Bi,https://icons.brapi.dev/icons/CYRE3.svg
BNBR3.SA,Banco do Nordeste do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 9.18 Bi,https://icons.brapi.dev/icons/BRAPI.svg
CURY3.SA,Cury Construtora e Incorporadora S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 8.59 Bi,https://icons.brapi.dev/icons/CURY3.svg
DIRR3.SA,Direcional Engenharia S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 7.08 Bi,https://icons.brapi.dev/icons/DIRR3.svg
IGTI3.SA,Iguatemi S.A.,Finance,Real Estate Services,Brazil,stock,R$ 6.61 Bi,https://icons.brapi.dev/icons/IGTI3.svg
BRAP3.SA,Bradespar S.A.,Finance,Asset Management,Brazil,stock,R$ 6.04 Bi,https://icons.brapi.dev/icons/BRAP3.svg
BRAP4.SA,Bradespar S.A.,Finance,Asset Management,Brazil,stock,R$ 6.03 Bi,https://icons.brapi.dev/icons/BRAP4.svg
ABCB4.SA,Banco ABC Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 5.39 Bi,https://icons.brapi.dev/icons/ABCB4.svg
BRSR6.SA,Banco do Estado do Rio Grande do Sul S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.85 Bi,https://icons.brapi.dev/icons/BRSR6.svg
BRSR3.SA,Banco do Estado do Rio Grande do Sul S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.79 Bi,https://icons.brapi.dev/icons/BRSR3.svg
VAMO3.SA,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Finance,Rental & Leasing Services,Brazil,stock,R$ 4.46 Bi,https://icons.brapi.dev/icons/VAMO3.svg
BAZA3.SA,Banco da Amazônia S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.17 Bi,https://icons.brapi.dev/icons/BAZA3.svg
BSLI3.SA,BRB - Banco de Brasília S.A.,Finance,Banks - Regional,Brazil,stock,R$ 4.10 Bi,https://icons.brapi.dev/icons/BSLI3.svg
BSLI4.SA,BRB - Banco de Brasília S.A.,Finance,Banks - Regional,Brazil,stock,R$ 3.81 Bi,https://icons.brapi.dev/icons/BSLI4.svg
BMEB4.SA,Banco Mercantil do Brasil S.A.,Finance,Banks - Regional,Brazil,stock,R$ 3.78 Bi,https://icons.brapi.dev/icons/BMEB4.svg
IRBR3.SA,IRB-Brasil Resseguros S.A.,Finance,Insurance - Reinsurance,Brazil,stock,R$ 3.70 Bi,https://icons.brapi.dev/icons/IRBR3.svg
JHSF3.SA,JHSF Participações S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 3.57 Bi,https://icons.brapi.dev/icons/JHSF3.svg
PLPL3.SA,Plano & Plano Desenvolvimento Imobiliário S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 3.19 Bi,https://icons.brapi.dev/icons/PLPL3.svg
EZTC3.SA,EZTEC Empreendimentos e Participações S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 3.04 Bi,https://icons.brapi.dev/icons/EZTC3.svg
TEND3.SA,Construtora Tenda S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 2.99 Bi,https://icons.brapi.dev/icons/TEND3.svg
BEES4.SA,Banestes S.A - Banco do Estado do Espírito Santo,Finance,Banks - Regional,Brazil,stock,R$ 2.97 Bi,https://icons.brapi.dev/icons/BEES4.svg
BEES3.SA,Banestes S.A - Banco do Estado do Espírito Santo,Finance,Banks - Regional,Brazil,stock,R$ 2.94 Bi,https://icons.brapi.dev/icons/BEES3.svg
MILS3.SA,"Mills Locação, Serviços e Logística S.A.",Finance,Rental & Leasing Services,Brazil,stock,R$ 2.64 Bi,https://icons.brapi.dev/icons/MILS3.svg
LAVV3.SA,Lavvi Empreendimentos Imobiliários S.A.,Finance,Real Estate Services,Brazil,stock,R$ 2.44 Bi,https://icons.brapi.dev/icons/LAVV3.svg
MOVI3.SA,Movida Participações S.A.,Finance,Rental & Leasing Services,Brazil,stock,R$ 2.41 Bi,https://icons.brapi.dev/icons/MOVI3.svg
BMGB4.SA,Banco BMG S.A.,Finance,Banks - Regional,Brazil,stock,R$ 2.15 Bi,https://icons.brapi.dev/icons/BMGB4.svg
AGRO3.SA,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,Finance,Farm Products,Brazil,stock,R$ 1.97 Bi,https://icons.brapi.dev/icons/AGRO3.svg
MDNE3.SA,Moura Dubeux Engenharia S.A.,Finance,Real Estate Services,Brazil,stock,R$ 1.95 Bi,https://icons.brapi.dev/icons/MDNE3.svg
EVEN3.SA,Even Construtora e Incorporadora S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 1.46 Bi,https://icons.brapi.dev/icons/EVEN3.svg
PINE3.SA,Banco Pine S.A.,Finance,Banks - Regional,Brazil,stock,R$ 1.39 Bi,https://icons.brapi.dev/icons/PINE3.svg
PINE4.SA,Banco Pine S.A.,Finance,Banks - Regional,Brazil,stock,R$ 1.34 Bi,https://icons.brapi.dev/icons/PINE4.svg
WIZC3.SA,Wiz Co Participações e Corretagem de Seguros S.A.,Finance,Insurance Brokers,Brazil,stock,R$ 1.25 Bi,https://icons.brapi.dev/icons/WIZC3.svg
ARML3.SA,"Armac Locação, Logística e Serviços S.A.",Finance,Rental & Leasing Services,Brazil,stock,R$ 1.18 Bi,https://icons.brapi.dev/icons/ARML3.svg
SCAR3.SA,São Carlos Empreendimentos e Participações S.A.,Finance,Real Estate Services,Brazil,stock,R$ 1.02 Bi,https://icons.brapi.dev/icons/SCAR3.svg
SYNE3.SA,Syn Prop & Tech S.A.,Finance,Real Estate - Diversified,Brazil,stock,R$ 1.00 Bi,https://icons.brapi.dev/icons/SYNE3.svg
LAND3.SA,Terra Santa Propriedades Agrícolas S.A.,Finance,Farm Products,Brazil,stock,R$ 0.97 Bi,https://icons.brapi.dev/icons/LAND3.svg
PEAB4.SA,Companhia de Participações Aliança da Bahia,Finance,Asset Management,Brazil,stock,R$ 0.83 Bi,https://icons.brapi.dev/icons/BRAPI.svg
BGIP4.SA,Banco do Estado de Sergipe S.A.,Finance,Banks - Regional,Brazil,stock,R$ 0.62 Bi,https://icons.brapi.dev/icons/BGIP4.svg
MTRE3.SA,Mitre Realty Empreendimentos e Participações S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 0.43 Bi,https://icons.brapi.dev/icons/MTRE3.svg
RPAD3.SA,Alfa Holdings S.A.,Finance,Conglomerates,Brazil,stock,R$ 0.39 Bi,https://icons.brapi.dev/icons/BRAPI.svg
SNCI11.SA,Suno Recebiveis Imobiliarios Fundo De Investimento Imobiliario,Finance,Consulting Services,Brazil,fund,R$ 0.37 Bi,https://icons.brapi.dev/icons/BRAPI.svg
HBRE3.SA,HBR Realty Empreendimentos Imobiliários S.A.,Finance,Real Estate Services,Brazil,stock,R$ 0.36 Bi,https://icons.brapi.dev/icons/HBRE3.svg
AVLL3.SA,Alphaville S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 0.34 Bi,https://icons.brapi.dev/icons/BRAPI.svg
GFSA3.SA,Gafisa S.A.,Finance,Residential Construction,Brazil,stock,R$ 0.14 Bi,https://icons.brapi.dev/icons/GFSA3.svg
IRIM11.SA,Iridium Fundo De Investimento Imobiliario,Finance,REIT - Diversified,Brazil,fund,R$ 0.13 Bi,https://icons.brapi.dev/icons/BRAPI.svg
TCSA3.SA,Tecnisa S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 0.13 Bi,https://icons.brapi.dev/icons/TCSA3.svg
RDNI3.SA,RNI Negócios Imobiliários S.A.,Finance,Real Estate - Development,Brazil,stock,R$ 0.10 Bi,https://icons.brapi.dev/icons/RDNI3.svg
BMIN4.SA,Banco Mercantil de Investimentos S.A.,Finance,Banks - Regional,Brazil,stock,R$ 0.10 Bi,https://icons.brapi.dev/icons/BRAPI.svg
PPLA11.SA,PPLA Participations Ltd.,Finance,Asset Management,Brazil,fund,R$ 0.04 Bi,https://icons.brapi.dev/icons/PPLA11.svg
NEXP3.SA,Nexpe Participações S.A.,Finance,Real Estate Services,Brazil,stock,R$ 0.01 Bi,https://icons.brapi.dev/icons/NEXP3.svg
PDGR3.SA,PDG Realty S.A. Empreendimentos e Participações,Finance,Real Estate - Development,Brazil,stock,R$ 0.01 Bi,https://icons.brapi.dev/icons/PDGR3.svg
RENV11.SA,Cpv Energia Fundo De Investimento Imobiliario Responsabilidade Limitada,Finance,REIT - Diversified,Brazil,fund,R$ 0.01 Bi,https://icons.brapi.dev/icons/RENV11.svg
EGYR11.SA,Energy Resort Fundo De Investimento Imobiliario,Finance,REIT - Diversified,Brazil,fund,R$ 0.00 Bi,https://icons.brapi.dev/icons/BRAPI.svg
IGTI11.SA,Iguatemi S.A.,Finance,Real Estate Services,Brazil,fund,N/A,https://icons.brapi.dev/icons/IGTI11.svg
BRBI11.SA,BRBI BR Partners S.A.,Finance,Capital Markets,Brazil,fund,N/A,https://icons.brapi.dev/icons/BRBI11.svg
RBIF11.SA,Rio Bravo Esg FICFI Em Infraestrutura Renda Fixa Credito Privado,Finance,,Brazil,fund,N/A,https://icons.brapi.dev/icons/BRAPI.svg
